validator_identity,on_chain_tip_sol_count,on_chain_tip_sol_mean,on_chain_tip_sol_median,on_chain_tip_sol_sum,fee_sol_mean,fee_sol_sum,compute_units_rpc_mean,compute_units_rpc_sum,tip_per_cu_mean,tip_per_cu_median,fee_per_cu_mean,fee_per_cu_median,latency_seconds_mean,latency_seconds_min,latency_seconds_max,success_rpc_mean,success_rpc_sum,instruction_count_mean,accounts_count_mean,tip_volume_rank,efficiency_rank,success_rank
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,20.628571,18.4,22.8,1.0,28,4.428571,12.428571,1.0,2.0,1.0
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,23.828571,12.0,35.6,1.0,28,4.428571,12.428571,1.0,2.0,1.0
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,7.028571,4.0,10.0,1.0,28,4.428571,12.428571,1.0,2.0,1.0
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,17.428571,16.8,18.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,31.828571,31.2,32.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
574rvsKGZg8rBuSNX7k8gG2mHFvUMwt22sSgJJBMCQVy,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,20.628571,20.0,21.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,28.628571,28.0,29.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,23.828571,23.2,24.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,27.028571,26.4,27.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,15.828571,15.2,16.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,38.228571,37.6,38.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,25.428571,24.8,26.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,1.428571,0.8,2.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,30.228571,29.6,30.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,33.428571,32.8,34.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,3.028571,2.4,3.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
EgxVyTgh2Msg781wt9EsqYx4fW8wSvfFAHGLaJQjghiL,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,36.628571,36.0,37.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,11.028571,10.4,11.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,7.828571,7.2,8.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,6.228571,5.6,6.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,14.228571,13.6,14.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,9,0.001778,0.002,0.016,7e-06,6.4e-05,60555.555556,545000,41.575092,39.74359,0.116889,0.116667,39.511111,39.2,40.0,1.0,9,4.111111,12.111111,3.0,3.0,1.0
6NDen7aDi65apHo8m1Vea4nuS6LyjQeM6pDNqcW4Q5Pg,5,0.0028,0.003,0.014,8e-06,4e-05,65000.0,325000,50.824176,51.648352,0.122148,0.123077,0.4,0.4,0.4,1.0,5,5.0,13.0,4.0,1.0,1.0
