validator_identity,on_chain_tip_sol_count,on_chain_tip_sol_mean,on_chain_tip_sol_median,on_chain_tip_sol_sum,fee_sol_mean,fee_sol_sum,compute_units_rpc_mean,compute_units_rpc_sum,tip_per_cu_mean,tip_per_cu_median,fee_per_cu_mean,fee_per_cu_median,latency_seconds_mean,latency_seconds_min,latency_seconds_max,success_rpc_mean,success_rpc_sum,instruction_count_mean,accounts_count_mean,tip_volume_rank,efficiency_rank,success_rank
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,28,0.002143,0.002,0.06,7e-06,0.000208,62142.857143,1740000,45.274725,46.153846,0.118767,0.116667,24.628571,13.6,35.6,1.0,28,4.428571,12.428571,1.0,2.0,1.0
4mtXJ5pUcMMB4t8cLbi7zfDJCHfYLRrQb4qSLmh57sKL,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,22.228571,21.6,22.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,28.628571,28.0,29.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,25.428571,24.8,26.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,7.828571,7.2,8.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
ALPHA6rdHZkx1om79xp47vX1iZXcbM3qfEwLyttZ1T7R,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,38.228571,37.6,38.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,20.628571,20.0,21.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
C4iCqAQuheCTQYsVNxYE2rWWjBmq2UfAdivYDKLdR4ut,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,31.828571,31.2,32.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,15.828571,15.2,16.4,1.0,14,4.428571,12.428571,2.0,2.0,1.0
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,27.028571,26.4,27.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,36.628571,36.0,37.2,1.0,14,4.428571,12.428571,2.0,2.0,1.0
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,33.428571,32.8,34.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,11.028571,10.4,11.6,1.0,14,4.428571,12.428571,2.0,2.0,1.0
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,17.428571,16.8,18.0,1.0,14,4.428571,12.428571,2.0,2.0,1.0
Fz6BL7pe2F8Fc78ZgLrPuXv9w8rz9UY3AZnDaxyGvuBT,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,6.228571,5.6,6.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
GMag1aGPi4Qi7FYNYi9HnAaktSRiWvZ6At3UWruuhEcL,14,0.002143,0.002,0.03,7e-06,0.000104,62142.857143,870000,45.274725,46.153846,0.118767,0.116667,30.228571,29.6,30.8,1.0,14,4.428571,12.428571,2.0,2.0,1.0
